url,venue_name,phone,venue_highlights,guest_capacity,address
https://www.wedding-spot.com/venue/2098/lambertville-station-restaurant-inn/,Lambertville Station Restaurant & Inn,609-397-9077,"Indoor and outdoor spaces, Rentals included, Valet parking",200,11 Bridge Street
https://www.wedding-spot.com/venue/2019/centerton-country-club-event-center/,Centerton Country Club & Event Center,856-358-3325,"Indoor and outdoor spaces, Rentals included, Valet parking",500,1022 Almond Road
https://www.wedding-spot.com/venue/2009/harbor-pines-golf-club/,Harbor Pines Golf Club,609-927-0006 ext. 13,"Indoor and outdoor spaces, Rentals included, Valet parking",200,500 Saint Andrews Drive
https://www.wedding-spot.com/venue/1889/ron-jaworskis-blue-heron-pines-golf-club/,Ron Jaworski's Blue Heron Pines Golf Club,609-965-1800 ext. 2,"Indoor and outdoor spaces, Rentals included, Valet parking",175,550 Country Club Drive
https://www.wedding-spot.com/venue/1888/waterview-pavilion/,Waterview Pavilion,732-681-4600,"Award winner, Rentals included, Valet parking",250,800 River Road
https://www.wedding-spot.com/venue/1876/jumping-brook-country-club/,Jumping Brook Country Club,732-922-8200 ext. 37,"Indoor and outdoor spaces, Rentals included, Valet parking",400,210 Jumping Brook Road
https://www.wedding-spot.com/venue/589/ocean-city-yacht-club/,Ocean City Yacht Club,609-457-7112,"Award winner, Indoor and outdoor spaces, BYO",220,100 Bay Road
https://www.wedding-spot.com/venue/588/southern-mansion/,Southern Mansion,609-884-7171,"Indoor and outdoor spaces, BYO, Rentals included",150,720 Washington Street
https://www.wedding-spot.com/venue/14517/st-joseph-polish-catholic-apostolate-of-the-diocese-of-camden/,St. Joseph Polish Catholic Apostolate of the Diocese of Camden,856-963-1285,Valet parking,900,1010 Liberty Street
https://www.wedding-spot.com/venue/14466/holmdel-community-united-church-of-christ/,Holmdel Community United Church of Christ,732-946-8821,"BYO, Valet parking",200,40 Main Street
https://www.wedding-spot.com/venue/13590/woodsedge-farm-weddings-events/,WoodsEdge Farm Weddings & Events,609-397-2212,"Indoor and outdoor spaces, BYO, Valet parking",400,78 Bowne Station Road
https://www.wedding-spot.com/venue/13686/lovecraft/,Lovecraft,917-612-3855,"Rentals included, Valet parking",300,50 Avenue B
https://www.wedding-spot.com/venue/1714/rubin-museum-of-art/,Rubin Museum of Art,212-620-5000 ext. 292,"Rentals included, Valet parking",150,150 West 17th Street
https://www.wedding-spot.com/venue/5061/il-buco/,Il Buco,917-484-4016,"BYO, Rentals included, Valet parking",70,47 Bond Street
https://www.wedding-spot.com/venue/13533/events-at-stone-park/,Events at Stone Park,718-369-0082,"Upgraded rentals included, Rentals included, Valet parking",60,357 3rd Street
https://www.wedding-spot.com/venue/13512/the-bogardus-mansion/,The Bogardus Mansion,646-729-6139,"Rehearsal dinner and bridal shower, BYO, Valet parking",125,75 Murray Street
https://www.wedding-spot.com/venue/16459/gemelli-and-the-ledge/,Gemelli and the Ledge,,"Indoor and outdoor spaces, BYO",250,48 Cypress Ave
https://www.wedding-spot.com/venue/6204/colonial-industrial-quarter/,Colonial Industrial Quarter,610-882-0450 ext. 20,"Indoor and outdoor spaces, BYO, Valet parking",250,459 Old York Road
https://www.wedding-spot.com/venue/13786/landmark-on-main-street/,Landmark On Main Street,516-767-1384,Valet parking,425,232 Main Street
https://www.wedding-spot.com/venue/248/the-pavilion-at-sunken-meadow/,The Pavilion at Sunken Meadow,,"2x award winner, Indoor and outdoor spaces, Rentals included",300,Sunken Meadow State Park
https://www.wedding-spot.com/venue/5222/new-york-water-taxi/,New York Water Taxi,212-630-8121,"Indoor and outdoor spaces, Rentals included, Valet parking",200,83 North River Piers
https://www.wedding-spot.com/venue/13749/sixth-floor-loft/,Sixth Floor Loft,212-982-8113,Valet parking,60,873 Broadway
https://www.wedding-spot.com/venue/14879/heritage-club-at-bethpage/,Heritage Club at Bethpage,,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",500,99 Quaker Meeting House Road
https://www.wedding-spot.com/venue/231/le-cirque/,Le Cirque,212-405-5095,Rentals included,170,One Beacon Court
https://www.wedding-spot.com/venue/8677/blue-fin-times-square/,Blue Fin Times Square,212-331-0313,"Upgraded rentals included, Rentals included, Valet parking",275,1567 Broadway
https://www.wedding-spot.com/venue/273/360-east-at-montauk-downs/,360 East at Montauk Downs,,"Award winner, Indoor and outdoor spaces, Rentals included",218,50 South Fairview Avenue
https://www.wedding-spot.com/venue/264/the-mansion-at-west-sayville/,The Mansion at West Sayville,,"Indoor and outdoor spaces, Rentals included, Valet parking",200,200 Main Street
https://www.wedding-spot.com/venue/9318/the-bryant-park-hotel/,The Bryant Park Hotel,212-869-0100,"Rehearsal dinner and bridal shower, Valet parking",120,40 West 40th Street
https://www.wedding-spot.com/venue/5071/first-unitarian-congressional-society-brooklyn/,First Unitarian Congressional Society Brooklyn,718-404-2348,"BYO, Valet parking",400,116 Pierrepont Street
https://www.wedding-spot.com/venue/420/the-foundry/,The Foundry,718-786-7776,"Indoor and outdoor spaces, BYO, Valet parking",180,42-38 Ninth Street
https://www.wedding-spot.com/venue/5502/middle-collegiate-church/,Middle Collegiate Church,,"BYO, Valet parking",325,112 2nd Avenue
https://www.wedding-spot.com/venue/13545/beasts-bottles/,Beasts & Bottles,718-858-1095,Valet parking,90,151 Atlantic Avenue
https://www.wedding-spot.com/venue/249/estate-at-three-village-inn/,Estate at Three Village Inn,,"Indoor and outdoor spaces, Upgraded rentals included, Valet parking",200,150 Main Street
https://www.wedding-spot.com/venue/1617/yachts-for-all-seasons-cloud-9-iv/,Yachts For All Seasons: Cloud 9 IV,212-534-6380,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Rentals included",149,2430 FDR Drive Service Road East
https://www.wedding-spot.com/venue/13544/atrium-dumbo/,Atrium DUMBO,718-858-1095,Valet parking,70,15 Main Street
https://www.wedding-spot.com/venue/250/chateau-at-coindre-hall/,Chateau at Coindre Hall,,"Award winner, Indoor and outdoor spaces, Upgraded rentals included",200,101 Browns Road
https://www.wedding-spot.com/venue/1625/yachts-for-all-seasons-hybrid/,Yachts For All Seasons: Hybrid,212-534-6380,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Rentals included",250,Pier 40 at Hudson River Park
https://www.wedding-spot.com/venue/11667/the-mariner-iii/,The Mariner III,917-471-0585,Rentals included,90,Pier 60 Chelsea Piers
https://www.wedding-spot.com/venue/1613/riff-raffs/,Riff Raffs,212-838-2061 ext. 2326,"Rentals included, Valet parking",40,360 Park Avenue South
https://www.wedding-spot.com/venue/2476/inside-park-at-st-barts/,Inside Park at St. Bart's,347-658-2954,Valet parking,75,325 Park Avenue
https://www.wedding-spot.com/venue/13702/the-james-new-york-nomad/,The James New York NoMad,646-424-2621,"Rentals included, Valet parking",120,22 East 29th Street
https://www.wedding-spot.com/venue/1343/the-mansion-at-oyster-bay/,The Mansion at Oyster Bay,,"Award winner, Indoor and outdoor spaces, Upgraded rentals included",288,1 S Woods Road
https://www.wedding-spot.com/venue/14654/fifth-avenue-presbyterian-church/,Fifth Avenue Presbyterian Church,212-247-0490 ext. 3018,Valet parking,1800,7 West 55th Street
https://www.wedding-spot.com/venue/13700/the-james-new-york-soho/,The James New York - SoHo,212-465-2000,"Indoor and outdoor spaces, BYO, Upgraded rentals included",100,27 Grand Street
https://www.wedding-spot.com/venue/8584/the-library-hotel/,The Library Hotel,212-204-5408,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Upgraded rentals included",50,"299 Madison Avenue,"
https://www.wedding-spot.com/venue/3228/inn-at-great-neck-world-hotels-crafted/,"Inn at Great Neck, World Hotels Crafted",516-773-2000,"Rentals included, Valet parking",135,30 Cutter Mill Road
https://www.wedding-spot.com/venue/1626/yachts-for-all-seasons-infinity/,Yachts For All Seasons: Infinity,212-534-6380,"Rehearsal dinner and bridal shower, Indoor and outdoor spaces, Rentals included",1200,Pier 40 at Hudson River Park
https://www.wedding-spot.com/venue/13552/the-chapel-at-the-historic-village-of-allaire/,The Chapel at the Historic Village of Allaire,732-919-3500 ext. 14,"Indoor and outdoor spaces, Valet parking",100,4263 Atlantic Avenue
https://www.wedding-spot.com/venue/12681/caffe-aldo-lamberti/,Caffe Aldo Lamberti,856-663-7887,"Rentals included, Valet parking",175,2011 Marlton Pike West
https://www.wedding-spot.com/venue/817/pinecrest-country-club/,PineCrest Country Club,215-855-4113 ext. 1,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",260,101 Country Club Drive
https://www.wedding-spot.com/venue/8730/atlantis-banquets-events-long-island-aquarium/,Atlantis Banquets & Events / Long Island Aquarium,934-451-8012,"Rehearsal dinner and bridal shower, Promotion available, Accommodation offered",340,431 East Main Street
https://www.wedding-spot.com/venue/1376/andaz-5th-avenue/,Andaz 5th Avenue,212-699-5708,"Award winner, Rentals included, Valet parking",80,485 5th Avenue
https://www.wedding-spot.com/venue/3411/belmont-mansion/,Belmont Mansion,267-736-0007,"Indoor and outdoor spaces, BYO, Valet parking",350,2000 Belmont Mansion Drive
https://www.wedding-spot.com/venue/16463/workhorse-brewing-company/,Workhorse Brewing Company,,Indoor and outdoor spaces,300,250 King Manor Dr
https://www.wedding-spot.com/venue/9800/spring-mill-ballroom/,Spring Mill Ballroom,610-283-2371,,225,1210 East Hector Street
https://www.wedding-spot.com/venue/1456/city-cruises-philadelphia/,City Cruises Philadelphia,267-238-3618,"Indoor and outdoor spaces, Upgraded rentals included, Rentals included",530,401 South Columbus Boulevard
https://www.wedding-spot.com/venue/12733/heroes-ballroom/,Heroes Ballroom,215-629-3606,"Award winner, Rentals included, Valet parking",350,11630 Caroline Road
https://www.wedding-spot.com/venue/11798/st-agatha-st-james-parish/,St. Agatha - St. James Parish,267-787-5000 ext. 1,Valet parking,600,3728 Chestnut Street
https://www.wedding-spot.com/venue/3931/ruths-chris-steakhouse-king-of-prussia/,Ruth's Chris Steakhouse - King of Prussia,610-992-1818,"Upgraded rentals included, Valet parking",100,220 North Gulph Road
https://www.wedding-spot.com/venue/11471/st-marys-hamilton-village/,"St. Mary's, Hamilton Village",215-386-3916,Valet parking,300,3916 Locust Walk
https://www.wedding-spot.com/venue/3067/general-warren/,General Warren,610-296-3637,"Award winner, Indoor and outdoor spaces, Valet parking",125,9 Old Lancaster Road
https://www.wedding-spot.com/venue/11808/park-avenue-united-methodist-church/,Park Avenue United Methodist Church,212-427-5421,Upgraded rentals included,380,106 East 86th Street
https://www.wedding-spot.com/venue/6203/moravian-museum/,Moravian Museum,610-882-0450 ext. 20,"BYO, Valet parking",80,66 West Church Street
https://www.wedding-spot.com/venue/9094/loews-regency-new-york-hotel/,Loews Regency New York Hotel,212-339-4024,"Rentals included, Valet parking",75,540 Park Avenue
https://www.wedding-spot.com/venue/12975/the-common-place/,The Common Place,267-275-8238,"BYO, Valet parking",400,5736 Chester Avenue
https://www.wedding-spot.com/venue/11823/magnolia/,Magnolia,917-605-0363,"Indoor and outdoor spaces, Valet parking",200,350 West 40th Street
https://www.wedding-spot.com/venue/2976/golden-pheasant-inn/,Golden Pheasant Inn,610-294-9595,"Indoor and outdoor spaces, Valet parking",100,763 River Road
https://www.wedding-spot.com/venue/3885/the-1912-club/,The 1912 Club,610-272-4050 ext. 223,"Indoor and outdoor spaces, Rentals included, Valet parking",250,888 Plymouth Road
https://www.wedding-spot.com/venue/820/doubletree-by-hilton-hotel-philadelphia-airport/,DoubleTree by Hilton Hotel Philadelphia Airport,215-365-4150,"Rentals included, Valet parking",250,4509 Island Avenue
https://www.wedding-spot.com/venue/14712/ap-creative/,AP Creative,347-404-6147,"BYO, Valet parking",80,420 Troutman Street
https://www.wedding-spot.com/venue/2680/whitebox-art-center/,Whitebox Art Center,917-771-2230,"BYO, Valet parking",150,329 Broome Street #1
https://www.wedding-spot.com/venue/5219/zanger-hall/,Zanger Hall,212-671-2511,"Rentals included, Valet parking",500,347 West 34th Street
https://www.wedding-spot.com/venue/6202/kemerer-museum/,Kemerer Museum,610-882-0450 ext. 20,"Indoor and outdoor spaces, BYO, Valet parking",140,427 North New Street
https://www.wedding-spot.com/venue/3645/sheraton-philadelphia-downtown/,Sheraton Philadelphia Downtown,215-448-2964,"Award winner, Rentals included, Valet parking",1000,201 North 17th Street
